"plate.name","well","value"
"BettongTest","C10","Bga018"
"BettongTest","C11",""
"BettongTest","C12",""
"BettongTest","D01",""
"BettongTest","D02",""
"BettongTest","D03",""
"BettongTest","D04",""
"BettongTest","D05",""
"BettongTest","D06",""
"BettongTest","D07",""
"BettongTest","D08",""
"BettongTest","D09",""
"BettongTest","D10","Bga022"
"BettongTest","D11",""
"BettongTest","D12",""
"BettongTest","E01",""
"BettongTest","E02",""
"BettongTest","E03",""
"BettongTest","E04",""
"BettongTest","E05",""
"BettongTest","E06",""
"BettongTest","E07",""
"BettongTest","E08",""
"BettongTest","E09",""
"BettongTest","E10","Bga026"
"BettongTest","E11",""
"BettongTest","E12",""
"BettongTest","F01",""
"BettongTest","F02",""
"BettongTest","F03",""
"BettongTest","F04",""
"BettongTest","F05",""
"BettongTest","F06",""
"BettongTest","F07",""
"BettongTest","F08",""
"BettongTest","F09",""
"BettongTest","F10","Bga031"
"BettongTest","F11",""
"BettongTest","F12",""
"BettongTest","G01",""
"BettongTest","G02",""
"BettongTest","G03",""
"BettongTest","G04",""
"BettongTest","G05",""
"BettongTest","G06",""
"BettongTest","G07",""
"BettongTest","G08",""
"BettongTest","G09",""
"BettongTest","G10",""
"BettongTest","G11",""
"BettongTest","G12",""
"BettongTest","H01",""
"BettongTest","H02",""
"BettongTest","H03",""
"BettongTest","H04",""
"BettongTest","H05",""
"BettongTest","H06",""
"BettongTest","H07",""
"BettongTest","H08",""
"BettongTest","H09",""
"BettongTest","H10",""
"BettongTest","H11",""
"BettongTest","H12",""
"PeakallTest","A01",""
"PeakallTest","A02",""
"PeakallTest","A03",""
"PeakallTest","A04",""
"PeakallTest","A05",""
"PeakallTest","A06",""
"PeakallTest","A07",""
"PeakallTest","A08",""
"PeakallTest","A09",""
"PeakallTest","A10",""
"PeakallTest","A11","CV1085"
"PeakallTest","A12",""
"PeakallTest","B01",""
"PeakallTest","B02",""
"PeakallTest","B03",""
"PeakallTest","B04",""
"PeakallTest","B05",""
"PeakallTest","B06",""
"PeakallTest","B07",""
"PeakallTest","B08",""
